Unnamed: 0,이용일자,이용카드,구분,이용하신 가맹점,Unnamed: 5,이용금액,할부개월,이번달 결제금액,Unnamed: 9,Unnamed: 10,결제 후 잔액,Unnamed: 12,적립예정포인트
,,이용카드,구분,이용하신 가맹점,,0.0,할부개월,회차,원금,수수료(이자),회차,원금,적립예정포인트
,2008-08-25 00:00:00,마스터023,일시불,카카오페이_NICE_1-시너지플레이스광교법, ,130000.0, , ,130000, , , ,1300
,2008-08-25 00:00:00,마스터023,일시불,아이엠스타 코인노래방(광교2호점), ,5000.0, , ,5000, , , ,50
,2008-08-25 00:00:00,마스터023,일시불,서일석유주식회사 기흥서일주유소, ,72000.0, , ,67709, , , ,677
,, , ,올라운드 선택1 할인, ,-4291.0, , , , , , , 
,2008-08-25 00:00:00,마스터023,일시불,엘코인노래연습장, ,4000.0, , ,4000, , , ,40
,2009-08-25 00:00:00,마스터023,일시불,크라우드PC 용인 상현점,P,5000.0, , ,5000, , , ,100
,2009-08-25 00:00:00,마스터023,일시불,크라우드PC 용인 상현점,P,5000.0, , ,5000, , , ,100
,2009-08-25 00:00:00,마스터023,일시불,구글플레이-구글페이먼트코리아유한회사, ,29000.0, , ,29000, , , ,290
,2009-08-25 00:00:00,마스터023,일시불,크라우드PC 용인 상현점,P,2000.0, , ,2000, , , ,40
,2010-08-25 00:00:00,마스터023,일시불,엘코인노래연습장, ,1000.0, , ,1000, , , ,10
,2011-08-25 00:00:00,마스터023,일시불,네이버페이, ,2961.0, , ,2961, , , ,29
,2016-08-25 00:00:00,마스터023,일시불,대표_카카오페이-(주)크라우드웍스, ,163000.0, , ,163000, , , ,1630
,2019-08-25 00:00:00,마스터023,일시불,(주)서진비엠씨, ,4500.0, , ,4500, , , ,45
,2020-08-25 00:00:00,마스터023,일시불,스마트로_대표비인증-대영아이오티, ,2000.0, , ,2000, , , ,20
,2020-08-25 00:00:00,마스터023,일시불,아이엠스타 코인 (광교2호점), ,1000.0, , ,1000, , , ,10
,2021-08-25 00:00:00,마스터023,일시불,(주)서진비엠씨, ,6000.0, , ,6000, , , ,60
,2021-08-25 00:00:00,마스터023,일시불,와그트래블-주식회사와그, ,54400.0, , ,54400, , , ,544
,2021-08-25 00:00:00,마스터023,일시불,엘코인노래연습장, ,4000.0, , ,4000, , , ,40
,2021-08-25 00:00:00,마스터023,일시불,KOCES_자판기_1-이헌콥, ,2400.0, , ,2400, , , ,24
,2022-08-25 00:00:00,마스터023,일시불,엘코인노래연습장, ,4000.0, , ,4000, , , ,40
,2023-08-25 00:00:00,마스터023,일시불,엘코인노래연습장, ,4000.0, , ,4000, , , ,40
,2023-08-25 00:00:00,마스터023,일시불,아이엠스타 코인노래방(광교2호점), ,3000.0, , ,3000, , , ,30
,2025-08-25 00:00:00,마스터023,일시불,구글플레이-구글페이먼트코리아유한회사, ,14900.0, , ,14900, , , ,149
,2025-08-25 00:00:00,마스터023,일시불,구글플레이-구글페이먼트코리아유한회사, ,2200.0, , ,2200, , , ,22
,2025-08-25 00:00:00,마스터023,일시불,롯데몰수지사업소 일반매출, ,129900.0, , ,129900, , , ,1299
,2025-08-25 00:00:00,마스터023,일시불,롯데몰 수지점-바인드(자), ,45900.0, , ,45900, , , ,459
,2025-08-25 00:00:00,마스터023,일시불,엘코인노래연습장, ,4000.0, , ,4000, , , ,40
,2026-08-25 00:00:00,마스터023,일시불,롯데리아 인천공항 탑승동점, ,11400.0, , ,11400, , , ,114
,2026-08-25 00:00:00,마스터023,일시불,네이버페이, ,7900.0, , ,7900, , , ,79
,2026-08-25 00:00:00,마스터023,일시불,구글플레이-구글페이먼트코리아유한회사, ,5500.0, , ,5500, , , ,55
,2030-08-25 00:00:00,마스터023,일시불,현장발권-S, ,20200.0, , ,20200, , , ,202
,2030-08-25 00:00:00,마스터023,일시불,씨유(CU) 인천공항중앙2호점, ,5800.0, , ,5800, , , ,58
,2030-08-25 00:00:00,마스터023,일시불,엘코인노래연습장, ,4000.0, , ,4000, , , ,40
,2030-08-25 00:00:00,마스터023,일시불,크라우드PC 용인 상현점,P,4000.0, , ,4000, , , ,80
,2030-08-25 00:00:00,마스터023,일시불,크라우드PC 용인 상현점,P,6000.0, , ,6000, , , ,120
,2031-08-25 00:00:00,마스터023,일시불,엘코인노래연습장, ,4000.0, , ,4000, , , ,40
,2031-08-25 00:00:00,마스터023,일시불,크라우드PC 용인 상현점,P,6000.0, , ,6000, , , ,120
,2001-09-25 00:00:00,마스터023,일시불,엘코인노래연습장, ,4000.0, , ,4000, , , ,40
,2002-09-25 00:00:00,마스터023,일시불,쿠팡(쿠페이)-쿠팡(쿠페이), ,33090.0, , ,33090, , , ,330
,2002-09-25 00:00:00,마스터023,일시불,KFCKOREA-주식회사케이에프씨, ,5900.0, , ,5900, , , ,59
,2002-09-25 00:00:00,마스터023,일시불,크라우드PC 용인 상현점,P,2000.0, , ,2000, , , ,40
,2002-09-25 00:00:00,마스터023,일시불,엘코인노래연습장, ,4000.0, , ,4000, , , ,40
,2003-09-25 00:00:00,마스터023,일시불,카카오T일반택시(법인)_4, ,7800.0, , ,7800, , , ,78
,2004-09-25 00:00:00,마스터023,일시불,NICE결제대행_1-시너지플레이스광교법조, ,117000.0, , ,117000, , , ,1170
,2004-09-25 00:00:00,마스터023,일시불,NICE(주차장)-나이스인프라주식회사, ,300.0, , ,300, , , ,3
,2005-09-25 00:00:00,마스터023,일시불,빛남맨즈헤어 광교점, ,35000.0, , ,14690, , , , 
,2006-09-25 00:00:00,마스터023,일시불,NICE(빌링)-(주)브레이브모바일, ,25000.0, , ,25000, , , , 
,2006-09-25 00:00:00,마스터023,일시불,(주)스포츠아일랜드(문화비), ,8500.0, , ,8500, , , , 
,2006-09-25 00:00:00,마스터023,일시불,수원고속주유소, ,78000.0, , ,73320, , , , 
,, , ,올라운드 선택1 할인, ,-4680.0, , , , , , , 
,2007-09-25 00:00:00,마스터023,일시불,카카오T일반택시_0, ,6600.0, , ,6600, , , , 
,2007-09-25 00:00:00,마스터023,일시불,지하철 3 건, ,8200.0, , ,8200, , , , 
,2007-09-25 00:00:00,마스터023,일시불,버스 2 건, ,2900.0, , ,2900, , , , 
,2017-07-25 00:00:00,마스터023,할부,(주)모두투어네트워크_카카오페이-(주)모, ,678000.0,4,2,169500,8486,2,339000, 
,, , ,무이자혜택금액, ,0.0, , , ,-8486, , , 
,2001-08-25 00:00:00,마스터023,연회비합계금액,제휴_KB국민 올라운드 티타늄카드, ,23000.0, , ,23000, , , , 
,2001-08-25 00:00:00,마스터023,연회비합계금액,기본연회비, ,7000.0, , ,7000, , , , 
,,,,nan,,0.0, , ,1284470, , ,339000,9756
,,,,nan,,0.0, , ,1284470, , ,339000,9756
,,,,합계,,1813280.0,,,,,,,
